,종목코드,종목명,NCAV,PEGR,PSR,유동비율,부채비율,일일변동평균,샤프지수,PER,PBR,시가총액
0,000990,DB하이텍,0.0286533260789553,4.113681114476702,2.6707850343658626,174.09,48.29,0.4451421570303656,49.648820281067145,23.36,3.89,2499641.0
1,023150,MH에탄올,-0.3018969554376066,-0.0,1.253320524430326,117.69,69.27,0.0815867094282092,1.717932125914624,0.0,1.12,64267.0
2,002360,SH에너지화학,0.361237148928838,-0.0,1.143522369681529,917.82,29.79,0.1667569824090397,10.246872391821366,0.0,1.07,104466.0
3,009160,SIMPAC,0.1766953469942262,-0.5710314893939454,0.779131362285944,125.85,51.22,0.1743090136800122,27.341287139128383,20.64,0.48,211992.0
4,100840,SNT에너지,0.7798734091473557,0.0738930285692778,0.5777123791025134,257.09,40.37,0.1310536658162468,21.178234567304067,8.24,0.54,132869.0
6,002710,TCC스틸,-0.5072977923455124,-0.5779971092714175,0.3115452615352606,92.8,165.86,0.5925413174977915,44.46146082164681,20.04,0.91,103730.0
7,035250,강원랜드,0.2022768715740232,-1.5799257314650026,11.336083061361943,452.28,12.06,0.1257041769213913,16.0486192508541,15.32,1.46,5412695.0
8,002100,경농,0.1576364030805944,-4.703216375199555,1.7808532454425607,158.64,51.62,0.1959503954052537,11.80813844379296,53.54,1.6,295008.0
9,009450,경동나비엔,0.0228222868208658,-2.573253652568193,0.8688454910806009,125.21,90.27,0.2287354106313217,29.88838783963365,23.06,2.16,692481.0
11,000050,경방,-1.0657341343310802,0.5442069494718638,1.600807506312674,30.22,59.64,0.2722592032225261,18.307817076035004,8.1,0.49,361882.0
12,214390,경보제약,0.141185948193949,-2.16985802115874,1.3492264710661923,147.38,62.27,0.3376231464035777,18.38247547461926,54.98,1.95,290468.0
13,012610,경인양행,-0.1094094907783738,0.502168804617631,1.271819885963575,107.54,101.53,0.1427868789636401,11.135314639209716,19.42,1.25,276795.0
14,198440,고려시멘트,0.1242702451976136,0.4961578357192979,1.7816587848822198,367.97,24.88,0.2948166044738328,23.26234092390252,36.89,1.41,125042.0
15,215000,골프존,-0.0259313955236419,-1.468979781040482,2.011927496227335,147.28,52.27,0.3830781361860755,47.08792321843075,34.85,2.83,565415.0
16,121440,골프존뉴딘홀딩스,-0.1689961922161433,-0.0,5.313520834465591,372.85,20.05,0.5223800004089176,75.98582966000393,0.0,0.68,305427.0
17,017040,광명전기,0.4078117954080996,-2.441624200409477,0.9261648221442498,205.86,51.25,0.2255825298347155,26.08791394730774,13.0,1.07,104227.0
18,037710,광주신세계,0.2074446902654867,3.318023733773643,1.8385386914840829,201.12,12.34,0.111395216200395,16.145670930020593,5.66,0.41,271200.0
19,005320,국동,0.1251144357016212,-0.0,0.710001751965036,141.94,103.36,0.511453861296745,23.705293044931093,0.0,1.74,172586.0
20,214330,금호에이치티,0.2780555783260923,-0.0,0.3182986566156539,173.94,46.97,0.4283279455118587,19.10642062992218,0.0,0.92,280577.0
21,013700,까뮤이앤씨,-0.3116661519115087,-0.285628080598642,0.6128109668055777,105.83,100.83,0.4125897830631448,24.67925017034249,7.2,1.4,99109.0
23,130580,나이스디앤비,0.1818631863186318,0.6318782237850162,2.579393675988056,302.07,26.38,0.1541862365498546,18.932482047110504,14.72,2.85,155540.0
24,034310,NICE,-0.2235086533073371,-1.1427396734003967,16.618172021249205,12.19,51.5,-0.0129992678175868,-3.0195239866257864,22.18,0.94,647787.0
25,008350,남선알미늄,0.0421451072045523,-2.7603733871140603,1.6128286389620217,190.3,59.1,-0.0354509370537796,-6.228243130014096,30.0,2.42,433004.0
26,004270,남성,-0.1659896217359246,-0.0,2.147383026648742,86.16,104.57,0.3543534774120931,18.536408472143133,0.0,1.67,143762.0
27,212560,네오오토,-0.1698532198835793,-0.8461561893112307,0.5723617602726195,106.22,74.64,0.5163048090879638,47.13950945006836,26.94,0.85,67252.0
28,153460,네이블,0.4427199914020834,-0.0,3.420271030934184,844.26,10.64,0.1464637834593373,13.450360078743785,0.0,1.69,40486.0
